ER5001,ER5002,ER5006,ER5013,ER5031,ER5032,ER6814,ER6993,ER72001,ER72002,ER72017,ER72024,ER72030,ER72031,ER76897,ER77448
6,432,38,1,1,69000,1,50000,,,,,,,,
6,1841,32,4,5,0,1,16844,,,,,,,,
,,,,,,,,1,9037,40,5,1,89900,1,53144
,,,,,,,,1,7712,19,2,8,0,1,10549
6,1850,40,5,5,0,1,34273,,,,,,,,
6,431,44,1,8,0,1,10424,,,,,,,,
,,,,,,,,1,8269,43,4,5,0,1,23816
,,,,,,,,1,5209,38,1,1,350000,1,186000
6,437,33,1,1,5000,1,24440,,,,,,,,
,,,,,,,,1,4624,34,4,5,0,1,14400
,,,,,,,,1,7036,64,1,1,62000,1,33262
,,,,,,,,1,8092,39,4,1,95000,1,65000
,,,,,,,,1,4543,48,2,5,0,2,37000
,,,,,,,,1,8533,51,1,1,130000,1,109416
,,,,,,,,1,7321,39,1,1,80000,1,73392
,,,,,,,,1,8013,61,1,1,75000,1,59500
6,692,20,2,5,0,1,10099,,,,,,,,
6,691,17,5,8,0,1,7667,,,,,,,,
,,,,,,,,1,2189,25,2,5,0,1,65000
,,,,,,,,1,1941,23,4,1,9000,1,37180
6,9020,81,3,5,0,1,8136,,,,,,,,
6,690,38,1,1,13000,1,60001,1,2342,63,1,1,60000,1,68000
,,,,,,,,1,2232,64,1,1,90000,1,51820
,,,,,,,,1,1659,51,1,1,50000,1,60150
,,,,,,,,1,1989,46,4,5,0,1,100000
,,,,,,,,1,96,63,4,1,40000,1,7249
6,5380,16,5,5,0,1,864,1,889,40,5,8,0,1,41742
6,2057,35,1,1,19000,1,43752,,,,,,,,
6,2058,37,1,1,10000,1,5328,,,,,,,,
6,6313,59,1,1,55000,1,41250,1,6008,83,1,1,225000,1,45786
6,6312,30,1,1,200000,1,100303,1,5452,54,1,1,550000,1,379500
6,4057,25,2,5,0,1,38001,,,,,,,,
,,,,,,,,1,8705,30,2,1,150000,1,41000
6,3700,34,1,1,55000,1,19416,1,5910,58,1,1,400000,1,80000
6,4058,26,1,1,9000,1,24891,1,7885,51,1,1,300000,1,160000
,,,,,,,,1,8310,49,1,1,450000,1,158600
,,,,,,,,1,8022,34,1,1,240000,1,92000
,,,,,,,,1,5506,28,2,1,385000,1,167020
,,,,,,,,1,6839,29,1,8,0,1,87100
6,737,58,1,1,80000,1,42201,,,,,,,,
,,,,,,,,1,5187,78,3,1,95000,1,4008
6,2059,35,1,1,60000,1,42800,1,5697,59,4,1,50000,1,21620
6,3212,31,1,1,55000,1,34128,1,8293,55,4,8,0,1,40726
,,,,,,,,1,6567,41,4,8,0,1,20000
,,,,,,,,1,9197,30,2,5,0,1,33300
,,,,,,,,1,6589,27,2,5,0,1,12000
6,1132,35,1,1,210000,1,86002,1,8600,59,1,1,675000,1,345504
,,,,,,,,1,6347,46,1,5,0,1,245500
6,545,52,1,1,55000,1,35099,1,7627,77,3,5,0,1,47019
6,542,26,1,5,0,1,24309,1,7487,51,1,5,0,1,75000
,,,,,,,,1,8925,41,1,1,280000,1,119200
6,1994,60,1,1,115000,1,43000,1,5436,84,1,1,69000,1,22956
6,3191,37,1,1,50000,1,28400,1,5207,61,1,1,85000,1,78975
6,3192,35,1,5,0,1,39520,,,,,,,,
6,1993,35,5,8,0,1,14100,,,,,,,,
6,1996,34,4,5,0,1,61828,1,5032,58,1,5,0,1,90292
6,1997,33,1,8,0,1,24185,1,4690,57,3,1,248000,1,128611
6,10091,30,3,5,0,1,31720,1,6194,54,4,1,85000,1,8000
6,9950,28,4,5,0,1,28818,1,5441,52,4,8,0,1,3600
,,,,,,,,1,9258,41,1,5,0,1,57124
,,,,,,,,1,7658,39,1,5,0,1,54000
,,,,,,,,1,5717,38,1,1,300000,1,82000
,,,,,,,,1,9320,30,1,5,0,1,50000
,,,,,,,,1,4942,28,2,5,0,1,23220
,,,,,,,,1,5702,27,2,5,0,1,29400
,,,,,,,,1,6580,27,1,5,0,1,127060
6,4210,36,1,1,10000,1,33000,1,6169,60,1,1,320000,1,75000
,,,,,,,,1,5307,64,4,1,200000,1,31200
,,,,,,,,1,5126,70,1,1,385000,1,31700
,,,,,,,,1,5299,55,1,5,0,1,82000
,,,,,,,,1,7899,46,4,1,80000,1,54812
6,10033,89,3,1,9999998,1,5736,,,,,,,,
6,245,61,1,1,65000,1,150005,,,,,,,,
,,,,,,,,1,2242,82,3,8,0,1,10800
6,1729,36,3,1,5000,1,24559,,,,,,,,
6,254,30,5,1,10000,1,14620,1,1594,54,4,5,0,1,7613
,,,,,,,,1,1550,42,5,5,0,1,100
,,,,,,,,1,2442,27,2,5,0,1,9252
,,,,,,,,1,1787,26,2,5,0,1,0
,,,,,,,,1,1686,26,2,5,0,1,7200
6,738,86,3,1,20000,1,5892,,,,,,,,
6,2666,45,1,1,100000,1,100252,,,,,,,,
6,8913,46,1,1,115000,1,62451,1,5892,70,1,1,295000,1,86500
,,,,,,,,1,5160,48,4,5,0,1,76505
,,,,,,,,1,6093,43,1,1,190000,1,106002
,,,,,,,,1,6716,23,2,5,0,1,20700
6,739,45,4,1,130000,1,47770,,,,,,,,
6,5438,49,1,1,135000,1,27111,1,5915,73,1,1,196000,1,30268
6,5873,24,1,5,0,1,30999,1,5852,48,1,1,370000,1,176480
6,2060,33,1,1,80000,1,33600,,,,,,,,
6,277,69,3,1,35000,1,85304,,,,,,,,
6,1754,44,2,5,0,1,35001,1,7264,68,1,1,150000,1,92000
6,287,42,1,1,145000,1,97027,1,5199,66,1,1,305000,1,125905
,,,,,,,,1,6396,37,1,1,350000,1,124050
,,,,,,,,1,7189,29,1,1,250000,1,106200
,,,,,,,,1,8679,26,1,1,230000,1,116600
6,288,36,1,1,110000,1,63501,1,4628,61,1,1,175000,1,130800
,,,,,,,,1,9341,41,1,1,250000,1,150100
,,,,,,,,1,4790,30,1,1,140000,1,160000
6,10397,71,3,8,0,1,6483,,,,,,,,
6,1133,87,1,1,70000,1,20001,,,,,,,,
6,670,72,2,1,9999998,4,11820,,,,,,,,
6,1134,80,3,1,130000,1,8330,,,,,,,,
6,1135,57,4,1,7000,1,41222,1,2401,82,4,5,0,1,24276
6,3451,28,1,5,0,1,50500,1,1585,52,1,1,600000,1,120100
,,,,,,,,1,2082,26,1,5,0,1,22000
6,3333,73,4,1,10000,1,8527,,,,,,,,
6,10076,54,1,1,90000,1,19871,,,,,,,,
6,740,96,3,8,0,1,6237,,,,,,,,
6,246,88,2,5,0,1,3381,,,,,,,,
6,407,63,1,1,9999998,1,600,,,,,,,,
,,,,,,,,1,3455,85,3,5,0,1,18000
6,409,31,2,5,0,1,16177,1,3494,56,2,1,150000,1,3893
6,2347,35,1,1,65000,1,76202,,,,,,,,
6,4561,72,4,5,0,1,12481,,,,,,,,
6,4206,73,4,1,60000,1,14188,,,,,,,,
,,,,,,,,1,70,65,4,5,0,1,70000
,,,,,,,,1,84,32,2,5,0,1,23412
6,4204,41,1,5,0,1,122002,,,,,,,,
6,9916,39,2,5,0,1,44001,1,137,66,2,1,550000,1,10001
6,6411,78,1,1,30000,1,17083,,,,,,,,
6,741,61,4,1,125000,1,25716,1,6517,86,4,1,180000,1,107648
6,3907,59,3,1,55000,1,14568,,,,,,,,
6,1136,38,1,1,50000,1,55501,1,5579,62,5,1,70000,1,34100
6,743,30,2,8,0,1,31012,1,8057,55,2,1,120000,1,55000
6,1137,29,5,8,0,1,15500,,,,,,,,
,,,,,,,,1,4796,42,1,1,140000,1,147500
6,742,43,1,1,190000,1,65401,,,,,,,,
6,3076,31,5,1,47000,1,7193,,,,,,,,
,,,,,,,,1,6529,42,1,1,205000,1,112000
,,,,,,,,1,7542,60,1,1,200000,1,77840
,,,,,,,,1,4877,83,3,1,90000,1,34513
